p;Riku
a;Max Comtois;8480031
a;Phil Kessel;8473548
a;David Pastrnak;8477956
a;Henri Jokiharju;8480035
g;Jacob Markström;8474593
a;Sebastian Aho;8478427
a;Seth Jones;8477495
a;Mikko Rantanen;8478420
a;Patrik Laine;8479339
a;Roope Hintz;8478449
a;Filip Hronek;8479425
a;Connor McDavid;8478402
a;Aaron Ekblad;8477932
a;Anze Kopitar;8471685
a;Kirill Kaprizov;8478864
a;Nick Suzuki;8480018
a;Roman Josi;8474600
a;Dougie Hamilton;8476462
a;Anthony Beauvillier;8478463
a;Adam Fox;8479323
a;Brady Tkachuk;8480801
g;Carter Hart;8479394
a;Kris Letang;8471724
a;Tomas Hertl;8476881
a;Joonas Donskoi;8475820
g;Jordan Binnington;8476412
a;Nikita Kucherov;8476453
a;Morgan Rielly;8476853
a;Quinn Hughes;8480800
a;Mark Stone;8475913
a;John Carlson;8474590
g;Connor Hellebuyck;8476945
p;Eetu
a;Trevor Zeagras;8481533
a;Clayton Keller;8479343
a;Brad Marchand;8473419
a;Rasmus Dahlin;8480839;
a;Johnny Gaudreau;8476346
a;Andrei Svechnikov;8480830
a;Patrick Kane;8474141
a;Cale Makar;8480069
a;Zach Werenski;8478460
a;Miro Heiskanen;8480036
g;Alex Nedeljkovic;8477968
a;Leon Draisaitl;8477934
a;Aleksander Barkov;8477493
a;Viktor Arvidsson;8478042
a;Jared Spurgeon;8474716
g;Carey Price;8471679
a;Filip Forsberg;8476887
a;Jack Hughes;8481559
a;Mathew Barzal;8478445
g;Igor Shesterkin;8478048
a;Josh Norris;8480064
a;Sean Couturier;8476461
a;Sidney Crosby;8471675
a;Erik Karlsson;8474578
a;Jordan Eberle;8474586
a;Torey Krug;8476792
a;Brayden Point;8478010
a;Auston Matthews;8479318
a;Brock Boeser;8478444
a;Shea Theodore;8477447
a;Alex Ovechkin;8471214
a;Nikolaj Ehlers;8477940
p;Arttu
g;John Gibson;8476434
a;Jakob Chychrun;8479345
a;Patrice Bergeron;8470638
a;Viktor Olofsson;8478109
a;Matthew Tkachuk;8479314
a;Teuvo Teravainen;8476882
a;Alex DeBrincat;8479337
a;Nathan MacKinnon;8477492
a;Oliver Björkstrand;8477416
a;John Klingberg;8475906
a;Dylan Larkin;8477946
a;Tyson Barrie;8475197
a;Jonathan Huberdeau;8476456
a;Drew Doughty;8474563
a;Mats Zuccarello;8475692
a;Jeff Petry;8473507
g;Juuse Saros;8477424
a;Nico Hischier;8480002
g;Seymon Varlamov;8473575
a;Artemi Panarin;8478550
a;Thomas Chabot;8478469
a;Claude Giroux;8473512
a;Jake Guentzel;8477404
a;Brent Burns;8470613
a;Jared McCann;8477955
a;Ryan O'Reilly;8475158
a;Victor Hedman;8475167
a;Mitchell Marner;8478483
a;Elias Pettersson;8480012
a;Alex Pietrangelo;8474565
a;Nicklas Backstrom;8473563
a;Mark Scheifele;8476460



